DATE,POOL_NAME,POOL_ADDR,MIN_EP,MAX_EP
2024-04-27 00:00:00.000,USDC-OP,0x2fbc7f425d5fe4dedcff77b45afaf7ac113e9662,2.275551679,2.612763467
2024-04-27 00:00:00.000,USDC-USDT,0x6728bfc6f086801c6fdaa8a3689ff498ed071704,0.9881377123,1.006403073
2024-04-28 00:00:00.000,USDC-OP,0x2fbc7f425d5fe4dedcff77b45afaf7ac113e9662,2.677543932,2.737521678
2024-04-28 00:00:00.000,WETH-USDT,0x2f629782c58918252970ab038d3fbd16e84d5076,3280.763718427,3320.603015075
2024-04-28 00:00:00.000,USDC-USDT,0x6728bfc6f086801c6fdaa8a3689ff498ed071704,0.9845322661,1.015763547
2024-04-28 00:00:00.000,USDC-WETH,0x4c43646304492a925e335f2b6d840c1489f17815,3225.589266671,3395.690014946
2024-04-29 00:00:00.000,USDC-USDT,0x6728bfc6f086801c6fdaa8a3689ff498ed071704,0.9869979997,1.0068
2024-04-29 00:00:00.000,USDC-OP,0x2fbc7f425d5fe4dedcff77b45afaf7ac113e9662,2.428285492,2.630619159
2024-04-29 00:00:00.000,USDC-WETH,0x4c43646304492a925e335f2b6d840c1489f17815,3127.192535311,3274.099039034
2024-04-29 00:00:00.000,WETH-USDT,0x2f629782c58918252970ab038d3fbd16e84d5076,3127.693327983,3223.545793946
2024-04-30 00:00:00.000,USDC-WETH,0x4c43646304492a925e335f2b6d840c1489f17815,2947.766466165,3207.104261194
2024-04-30 00:00:00.000,WETH-USDT,0x2f629782c58918252970ab038d3fbd16e84d5076,3005.246304002,3173.553719008
2024-04-30 00:00:00.000,USDC-OP,0x2fbc7f425d5fe4dedcff77b45afaf7ac113e9662,2.316512321,2.490909295
2024-04-30 00:00:00.000,USDC-USDT,0x6728bfc6f086801c6fdaa8a3689ff498ed071704,0.9792764985,1.021310655
2024-05-01 00:00:00.000,USDC-USDT,0x6728bfc6f086801c6fdaa8a3689ff498ed071704,0.9830920222,1.010737948
2024-05-01 00:00:00.000,USDC-OP,0x2fbc7f425d5fe4dedcff77b45afaf7ac113e9662,2.409264613,2.410624889
2024-05-01 00:00:00.000,USDC-IPT,0xbd3b26a214734c12d3dc7fc3e22b91226a7c1517,0.03192647993,0.03671287946
